genre,song_file,song_index,lyrics
blues,blues.00000.wav,0,"I woke up this morning, feeling so alone, My baby left me, and I'm far from home"
blues,blues.00001.wav,1,"I said night time is the right time to be with the one you love. You know when night come baby I know you so far away I'm in the mood. I'm in the mood"
blues,blues.00002.wav,2,"We get so with me baby. Then I know you can do. We get so with me baby. Then I know you can do. Then you need me want to need you. Then you know you're standing a few"
blues,blues.00003.wav,3,"My Jessica Jane. I had a friend one time."
blues,blues.00004.wav,4,"I didn't care what you didn't love. I was flipping out in the house. What boy from the town people? I walked down parkway. Do you know what I'm talking about"
blues,blues.00005.wav,5,"Baby my honey lady sugar sugar mama. Sugar mama ease. Baby braggin' 'bout you sugar sugar mama."
blues,blues.00006.wav,6,"My baby let me in the morning. People get up on four o'clock. She let me green and green and. People that I'm woke up Friday"
blues,blues.00007.wav,7,"Train whistle blowing, midnight rain falling, Heart keeps calling, my baby's name"
blues,blues.00008.wav,8,"Mississippi river flowing, carrying my blues, Nothing left for me here, nothing left to lose"
blues,blues.00009.wav,9,"Got my old guitar, strings are wearing thin, Singing these blues is where I always begin"
blues,blues.00010.wav,10,"Empty whiskey glass, empty bed at night, Everything's gone wrong, nothing feels right"
blues,blues.00011.wav,11,"Walking down that lonesome road, carrying a heavy load, Blues got me, won't let me go"
blues,blues.00012.wav,12,"Moon is high, stars are bright, But my heart feels dark tonight"
blues,blues.00013.wav,13,"She took my heart when she walked away, Now I'm singing blues every day"
blues,blues.00014.wav,14,"Rain on the rooftop, tears in my eyes, Missing my baby under these gray skies"
blues,blues.00015.wav,15,"Greyhound bus leaving town, I'm staying here feeling down"
blues,blues.00016.wav,16,"My dog died, my woman's gone, Can't find a reason to carry on"
blues,blues.00017.wav,17,"Juke joint jumping, people having fun, But my dancing days are done"
blues,blues.00018.wav,18,"Picked my guitar, played a sad refrain, Trying to ease this constant pain"
blues,blues.00019.wav,19,"The sun don't shine like it used to do, Everything changed when I lost you"
blues,blues.00020.wav,20,"Whiskey helps for a little while, Then the blues come back with their bitter smile"
blues,blues.00021.wav,21,"Cotton fields empty, wind blowing free, Just like my heart's empty, just like me"
blues,blues.00022.wav,22,"Trouble in mind, I'm so blue, Thought I'd lost my worrying mind"
blues,blues.00023.wav,23,"Early in the morning, when the rooster crows, That's when my loneliness shows"
blues,blues.00024.wav,24,"Got the mean old blues, from my head to my shoes"
blues,blues.00025.wav,25,"Standing at the crossroads, don't know which way to go, Life's been hard, moving oh so slow"
blues,blues.00026.wav,26,"My baby's gone, left me here to weep, Promises she made, promises she couldn't keep"
blues,blues.00027.wav,27,"Cold wind blowing through the pines, Thinking about better times"
blues,blues.00028.wav,28,"Got a hole in my pocket, hole in my shoe, Hole in my heart thinking about you"
blues,blues.00029.wav,29,"Smoke-filled room, cheap guitar, This is how I heal my scar"
blues,blues.00030.wav,30,"Miss my home, miss my bed, So many foolish things I've said"
blues,blues.00031.wav,31,"Grey skies above, mud below, Nowhere left for me to go"
blues,blues.00032.wav,32,"My mama told me, son don't you cry, But mama, I can't help it, I just want to die"
blues,blues.00033.wav,33,"Wore out my welcome, wore out my shoes, Got nothing left except these blues"
blues,blues.00034.wav,34,"River deep, mountain high, But my love for you will never die"
blues,blues.00035.wav,35,"Got a letter today, written in blue, Saying she don't love me, saying we're through"
blues,blues.00036.wav,36,"Crow flies at midnight, owl hoots at noon, My life's out of rhythm, out of tune"
blues,blues.00037.wav,37,"Dust on the Bible, dust on my soul, Trying to find my way back home"
blues,blues.00038.wav,38,"Broken string on my guitar, Broken heart, that's what we are"
blues,blues.00039.wav,39,"Took my last dollar to the pawn shop man, Tried to buy back my wedding band"
blues,blues.00040.wav,40,"Moonlight through the window pane, Memories driving me insane"
blues,blues.00041.wav,41,"Crying won't help you, praying won't do no good, When you're lonesome, lonesome feels like it should"
blues,blues.00042.wav,42,"My back's against the wall, Can't hear my savior's call"
blues,blues.00043.wav,43,"Train don't stop here anymore, Love don't knock on my door"
blues,blues.00044.wav,44,"I've been down so long, it looks like up to me"
blues,blues.00045.wav,45,"Catfish biting, river running high, Tears running down from my eye"
blues,blues.00046.wav,46,"If the river was whiskey, and I was a diving duck, I'd swim to the bottom and never come up"
blues,blues.00047.wav,47,"My woman she's long, she's tall, She sleeps with her head in the kitchen, her feet in the hall"
blues,blues.00048.wav,48,"Going down to the crossroads, try to flag a ride, I'm going down to the crossroads, try to flag a ride"
blues,blues.00049.wav,49,"I ain't got no money, I ain't got no clothes, I ain't got nobody, heaven knows"
blues,blues.00050.wav,50,"Woke up this morning with the blues wrapped around my bed"
blues,blues.00051.wav,51,"I've got to keep moving, I've got to keep moving, Blues falling down like hail"
blues,blues.00052.wav,52,"And I can't be satisfied, I just can't keep from crying"
blues,blues.00053.wav,53,"My baby, she wrote me a letter, She wrote me a letter, said she couldn't do no better"
blues,blues.00054.wav,54,"Now when you see me coming, raise your window high, When you see me going, hang your head and cry"
blues,blues.00055.wav,55,"Sittin' on top of the world, Just a-singin' and a-playin'"
blues,blues.00056.wav,56,"I've been loving you baby, for a long long time, I've been loving you baby, for a long long time"
blues,blues.00057.wav,57,"My mama told me, leave that girl alone, But mama that's the girl that's going to carry me home"
blues,blues.00058.wav,58,"You know I love you baby, better than I love myself, You know I love you baby, better than I love myself"
blues,blues.00059.wav,59,"If I don't love you baby, grits ain't groceries, eggs ain't poultry, and Mona Lisa was a man"
blues,blues.00060.wav,60,"The sun's gonna shine in my back door someday"
blues,blues.00061.wav,61,"I'd rather be blind, crippled and crazy, Than to see you walk away from me baby"
blues,blues.00062.wav,62,"You can't lose what you never had, You can't spend what you ain't got"
blues,blues.00063.wav,63,"My mama she told me, before she passed away, Be careful who you love, and be careful what you say"
blues,blues.00064.wav,64,"I'm a man, I'm a full grown man, I'm a man, I'm a rolling stone"
blues,blues.00065.wav,65,"Baby please don't go, down to New Orleans, You know I love you so"
blues,blues.00066.wav,66,"I'm going away to wear you off my mind"
